time,Hips.x,Hips.y,Hips.z,spine.x,spine.y,spine.z,spine1.x,spine1.y,spine1.z,spine2.x,spine2.y,spine2.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightArmRoll.x,RightArmRoll.y,RightArmRoll.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightForeArmRoll.x,RightForeArmRoll.y,RightForeArmRoll.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftArmRoll.x,LeftArmRoll.y,LeftArmRoll.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftForeArmRoll.x,LeftForeArmRoll.y,LeftForeArmRoll.z,LeftHand.x,LeftHand.y,LeftHand.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightUpLegRoll.x,RightUpLegRoll.y,RightUpLegRoll.z,RightLeg.x,RightLeg.y,RightLeg.z,RightLegRoll.x,RightLegRoll.y,RightLegRoll.z,RightFoot.x,RightFoot.y,RightFoot.z,RightToeBase.x,RightToeBase.y,RightToeBase.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftUpLegRoll.x,LeftUpLegRoll.y,LeftUpLegRoll.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftLegRoll.x,LeftLegRoll.y,LeftLegRoll.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,LeftToeBase.x,LeftToeBase.y,LeftToeBase.z
   0.00000,  53.60750,  85.61650,  10.52420,  53.79165,  92.01243,  10.76628,  54.09995, 101.17382,  10.34814,  54.52314, 109.95265,  10.10515,  55.95478, 132.45620,  11.61213,  55.31876, 139.15663,  12.71377,  51.42099, 119.66964,   9.81251,  40.61476, 125.78060,   8.82445,  39.38069, 119.86563,  10.56078,  35.78629, 102.63742,  15.61807,  36.37019,  96.15434,  18.33825,  37.54196,  83.14421,  23.79704,  58.81036, 119.20509,   9.72961,  68.71509, 126.75364,   9.83179,  69.71478, 120.78631,  11.53949,  72.62654, 103.40560,  16.51341,  72.33102,  96.75884,  18.85944,  71.73797,  83.42025,  23.56741,  47.89458,  84.71922,   9.81561,  47.21679,  68.14109,  10.34749,  46.37745,  47.61159,  11.00616,  46.54539,  27.07647,   9.09659,  46.68517,   9.98438,   7.50719,  45.44706,   3.73797,  20.36712,  59.21894,  84.40394,   9.53120,  59.85731,  67.81741,   9.77515,  60.64781,  47.27774,  10.07723,  60.83578,  26.67263,   7.13398,  60.98908,   9.86819,   4.73362,  63.07399,   3.61193,  17.47884
   0.00208,  53.60790,  85.60720,  10.50280,  53.79097,  92.00298,  10.74980,  54.09783, 101.16472,  10.33834,  54.51949, 109.94378,  10.10105,  55.94632, 132.44677,  11.62085,  55.31267, 139.14638,  12.72879,  51.41553, 119.66032,   9.81286,  40.60868, 125.77206,   8.83649,  39.37514, 119.85611,  10.56983,  35.78228, 102.62503,  15.61846,  36.36797,  96.14211,  18.33862,  37.54334,  83.13230,  23.79739,  58.80501, 119.19725,   9.73187,  68.70742, 126.74877,   9.83867,  69.70776, 120.77983,  11.54034,  72.62139, 103.39443,  16.49673,  72.32558,  96.74889,  18.84619,  71.73196,  83.41275,  23.56103,  47.89523,  84.70953,   9.79273,  47.21719,  68.13173,  10.33466,  46.37755,  47.60265,  11.00575,  46.54460,  27.06769,   9.09446,  46.68365,   9.97572,   7.50362,  45.44426,   3.72862,  20.36308,  59.21968,  84.39632,   9.50965,  59.85548,  67.80983,   9.76282,  60.64282,  47.27021,  10.07633,  60.83154,  26.66551,   7.13025,  60.98545,   9.86141,   4.72759,  63.06331,   3.60395,  17.47337
   0.00417,  53.60570,  85.60720,  10.47840,  53.78769,  92.00282,  10.73028,  54.09311, 101.16490,  10.32539,  54.51323, 109.94418,  10.09366,  55.93519, 132.44664,  11.62582,  55.30394, 139.14542,  12.74017,  51.40745, 119.66027,   9.80969,  40.59992, 125.77267,   8.84508,  39.36679, 119.85578,  10.57553,  35.77513, 102.62197,  15.61569,  36.36256,  96.13922,  18.33588,  37.54140,  83.12975,  23.79471,  58.79705, 119.19869,   9.73067,  68.69721, 126.75309,   9.84212,  69.69832, 120.78257,  11.53779,  72.61419, 103.39256,  16.47667,  72.31825,  96.74829,  18.82967,  71.72437,  83.41467,  23.55163,  47.89327,  84.70913,   9.76685,  47.21497,  68.13168,  10.31859,  46.37500,  47.60301,  11.00184,  46.54153,  27.06819,   9.08888,  46.68014,   9.97636,   7.49667,  45.43953,   3.72856,  20.35568,  59.21782,  84.39798,   9.48511,  59.85133,  67.81155,   9.74728,  60.63583,  47.27199,  10.07193,  60.82563,  26.66769,   7.12319,  60.98042,   9.86390,   4.71834,  63.05136,   3.60531,  17.46469
   0.00625,  53.60610,  85.60700,  10.46300,  53.78701,  92.00245,  10.71971,  54.09099, 101.16487,  10.32134,  54.50956, 109.94437,  10.09508,  55.92663, 132.44632,  11.63925,  55.29778, 139.14424,  12.76011,  51.40196, 119.65999,   9.81516,  40.59367, 125.77291,   8.86238,  39.36104, 119.85509,  10.58998,  35.77083, 102.61856,  15.62185,  36.36014,  96.13600,  18.34211,  37.54276,  83.12693,  23.80108,  58.79167, 119.19991,   9.73815,  68.68964, 126.75712,   9.85428,  69.69135, 120.78500,  11.54393,  72.60900, 103.39032,  16.46531,  72.31275,  96.74733,  18.82192,  71.71825,  83.41632,  23.55112,  47.89392,  84.70854,   9.74998,  47.21563,  68.13141,  10.31136,  46.37567,  47.60314,  11.00655,  46.54203,  27.06847,   9.09200,  46.68049,   9.97676,   7.49845,  45.43852,   3.72830,  20.35700,  59.21855,  84.39944,   9.46959,  59.84976,  67.81306,   9.74061,  60.63141,  47.27357,  10.07621,  60.82227,  26.66964,   7.12491,  60.97793,   9.86617,   4.71799,  63.04198,   3.60644,  17.46491
   0.00833,  53.61450,  85.60350,  10.45590,  53.79434,  91.99879,  10.71742,  54.09687, 101.16153,  10.32553,  54.51389, 109.94124,  10.10466,  55.92604, 132.44268,  11.66067,  55.29961, 139.13973,  12.78808,  51.40446, 119.65639,   9.82870,  40.59542, 125.76981,   8.88780,  39.36320, 119.85107,  10.61257,  35.77419, 102.61190,  15.63624,  36.36532,  96.12954,  18.35658,  37.55159,  83.12088,  23.81573,  58.79429, 119.19780,   9.75375,  68.69009, 126.75777,   9.87455,  69.69259, 120.78409,  11.55821,  72.61250, 103.38486,  16.46212,  72.31614,  96.74318,  18.82241,  71.72140,  83.41479,  23.55897,  47.90256,  84.70465,   9.74140,  47.22398,  68.12785,  10.31235,  46.38366,  47.60001,  11.01938,  46.54949,  27.06548,   9.10326,  46.68751,   9.97388,   7.50841,  45.44427,   3.72476,  20.36652,  59.22729,  84.39760,   9.46238,  59.85589,  67.81127,   9.74216,  60.63431,  47.27183,  10.08861,  60.82586,  26.66826,   7.13485,  60.98208,   9.86508,   4.72591,  63.03913,   3.60421,  17.47339
   0.01042,  53.61620,  85.60260,  10.43770,  53.79496,  91.99772,  10.70403,  54.09606, 101.16079,  10.31860,  54.51153, 109.94070,  10.10313,  55.91875, 132.44163,  11.67092,  55.29474, 139.13780,  12.80489,  51.40027, 119.65538,   9.83111,  40.59045, 125.76925,   8.90208,  39.35856, 119.84962,  10.62403,  35.77051, 102.60785,  15.63946,  36.36338,  96.12569,  18.35988,  37.55313,  83.11740,  23.81916,  58.79020, 119.19828,   9.75821,  68.68384, 126.76101,   9.88369,  69.68701, 120.78575,  11.56135,  72.60889, 103.38193,  16.44776,  72.31228,  96.74157,  18.81172,  71.71704,  83.41582,  23.55565,  47.90451,  84.70335,   9.72173,  47.22563,  68.12690,  10.30221,  46.38495,  47.59948,  11.02106,  46.55023,  27.06509,   9.10338,  46.68781,   9.97361,   7.50724,  45.44307,   3.72386,  20.36490,  59.22932,  84.39835,   9.44406,  59.85560,  67.81208,   9.73258,  60.63114,  47.27272,  10.08985,  60.82375,  26.66952,   7.13362,  60.98083,   9.86663,   4.72268,  63.03101,   3.60464,  17.47071
   0.01250,  53.61970,  85.59960,  10.42130,  53.79738,  91.99455,  10.69245,  54.09703, 101.15793,  10.31350,  54.51095, 109.93805,  10.10345,  55.91326, 132.43846,  11.68312,  55.29166, 139.13374,  12.82363,  51.39786, 119.65225,   9.83541,  40.58730, 125.76660,   8.91825,  39.35582, 119.84607,  10.63737,  35.76896, 102.60165,  15.64453,  36.36365,  96.11968,  18.36502,  37.55707,  83.11179,  23.82443,  58.78791, 119.19665,   9.76456,  68.67937, 126.76214,   9.89471,  69.68323, 120.78531,  11.56636,  72.60712, 103.37692,  16.43526,  72.31029,  96.73787,  18.80285,  71.71462,  83.41474,  23.55410,  47.90826,  84.69996,   9.70385,  47.22938,  68.12385,  10.29392,  46.38869,  47.59685,  11.02462,  46.55380,  27.06261,   9.10537,  46.69123,   9.97125,   7.50791,  45.44535,   3.72083,  20.36514,  59.23316,  84.39701,   9.42755,  59.85711,  67.81081,   9.72483,  60.62977,  47.27153,  10.09297,  60.82346,  26.66870,   7.13425,  60.98141,   9.86611,   4.72127,  63.02473,   3.60299,  17.46986
   0.01458,  53.62030,  85.59970,  10.40580,  53.79690,  91.99447,  10.68180,  54.09510, 101.15817,  10.30938,  54.50747, 109.93849,  10.10482,  55.90488, 132.43835,  11.69661,  55.28569, 139.13275,  12.84360,  51.39255, 119.65222,   9.84088,  40.58130, 125.76711,   8.93556,  39.35028, 119.84565,  10.65179,  35.76476, 102.59851,  15.65056,  36.36133,  96.11673,  18.37108,  37.55851,  83.10921,  23.83057,  58.78271, 119.19810,   9.77204,  68.67197, 126.76640,   9.90686,  69.67645, 120.78800,  11.57249,  72.60215, 103.37503,  16.42388,  72.30502,  96.73727,  18.79507,  71.70872,  83.41675,  23.55352,  47.90910,  84.69967,   9.68688,  47.22994,  68.12392,  10.28664,  46.38890,  47.59736,  11.02935,  46.55348,  27.06327,   9.10848,  46.69046,   9.97203,   7.50967,  45.44312,   3.72094,  20.36643,  59.23409,  84.39878,   9.41192,  59.85544,  67.81264,   9.71810,  60.62487,  47.27344,  10.09724,  60.81929,  26.67098,   7.13595,  60.97785,   9.86870,   4.72087,  63.01419,   3.60443,  17.47001
   0.01667,  53.61550,  85.59630,  10.37070,  53.79102,  91.99089,  10.65158,  54.08776, 101.15490,  10.28578,  54.49858, 109.93542,  10.08682,  55.89114, 132.43470,  11.69110,  55.27434, 139.12821,  12.84448,  51.38185, 119.64868,   9.82717,  40.57000, 125.76423,   8.93362,  39.33945, 119.84182,  10.64692,  35.75529, 102.59194,  15.63718,  36.35370,  96.11033,  18.35770,  37.55456,  83.10315,  23.81720,  58.77212, 119.19604,   9.76028,  68.65908, 126.76726,   9.89975,  69.66427, 120.78730,  11.55936,  72.59204, 103.36980,  16.39322,  72.29467,  96.73330,  18.76791,  71.69791,  83.41531,  23.53339,  47.90455,  84.69588,   9.65031,  47.22512,  68.12050,  10.25994,  46.38374,  47.59441,  11.01487,  46.54779,  27.06047,   9.09231,  46.68433,   9.96936,   7.49210,  45.43583,   3.71757,  20.34841,  59.22962,  84.39705,   9.37669,  59.84866,  67.81099,   9.69191,  60.61524,  47.27190,  10.08226,  60.81080,  26.66984,   7.11826,  60.97029,   9.86789,   4.70097,  62.99977,   3.60248,  17.45064
   0.01875,  53.62410,  85.58960,  10.35870,  53.79853,  91.98400,  10.64453,  54.09381, 101.14833,  10.28545,  54.50309, 109.92905,  10.09224,  55.89084, 132.42769,  11.70952,  55.27641, 139.12034,  12.86917,  51.38456, 119.64185,   9.83713,  40.57219, 125.75818,   8.95526,  39.34211, 119.83481,  10.66556,  35.75932, 102.58210,  15.64703,  36.35951,  96.10063,  18.36750,  37.56397,  83.09374,  23.82689,  58.77493, 119.19067,   9.77211,  68.65952, 126.76490,   9.91621,  69.66541, 120.78339,  11.56978,  72.59520, 103.36136,  16.38607,  72.29758,  96.72609,  18.76414,  71.70031,  83.41055,  23.53639,  47.91340,  84.68880,   9.63683,  47.23400,  68.11379,  10.25658,  46.39268,  47.58816,  11.02404,  46.55656,  27.05438,   9.09969,  46.69296,   9.96341,   7.49799,  45.44344,   3.71085,  20.35382,  59.23856,  84.39204,   9.36453,  59.85502,  67.80606,   9.68905,  60.61840,  47.26707,  10.09091,  60.81479,  26.66544,   7.12401,  60.97496,   9.86383,   4.70437,  62.99745,   3.59724,  17.45457
