time,Hips.x,Hips.y,Hips.z,spine.x,spine.y,spine.z,spine1.x,spine1.y,spine1.z,spine2.x,spine2.y,spine2.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightArmRoll.x,RightArmRoll.y,RightArmRoll.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightForeArmRoll.x,RightForeArmRoll.y,RightForeArmRoll.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftArmRoll.x,LeftArmRoll.y,LeftArmRoll.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftForeArmRoll.x,LeftForeArmRoll.y,LeftForeArmRoll.z,LeftHand.x,LeftHand.y,LeftHand.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightUpLegRoll.x,RightUpLegRoll.y,RightUpLegRoll.z,RightLeg.x,RightLeg.y,RightLeg.z,RightLegRoll.x,RightLegRoll.y,RightLegRoll.z,RightFoot.x,RightFoot.y,RightFoot.z,RightToeBase.x,RightToeBase.y,RightToeBase.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftUpLegRoll.x,LeftUpLegRoll.y,LeftUpLegRoll.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftLegRoll.x,LeftLegRoll.y,LeftLegRoll.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,LeftToeBase.x,LeftToeBase.y,LeftToeBase.z
   0.00000,  56.13490,  85.61500,   5.22010,  56.27645,  92.01611,   5.29889,  56.54427, 101.16711,   4.67555,  56.93295, 109.94247,   4.29094,  58.25683, 132.46638,   5.57575,  57.64357, 139.14127,   6.83420,  53.80100, 119.64378,   3.83896,  43.00238, 125.67428,   2.38385,  41.73144, 119.76471,   4.11194,  38.02963, 102.55223,   9.14528,  38.60670,  96.09040,  11.91697,  39.76473,  83.12290,  17.47914,  61.19234, 119.20657,   3.88749,  71.20103, 126.60783,   3.51053,  72.17583, 120.64728,   5.25581,  75.01507, 103.28625,  10.33921,  74.77935,  96.66452,  12.76152,  74.30633,  83.37614,  17.62258,  50.44261,  84.66299,   4.42255,  50.06848,  68.06951,   4.72756,  49.60518,  47.52100,   5.10527,  50.49630,  26.99143,   3.34210,  51.23801,   9.90397,   1.87455,  49.88599,   3.47839,  14.63434,  61.77204,  84.41311,   4.36999,  62.14414,  67.82357,   4.84841,  62.60492,  47.28018,   5.44084,  62.71975,  26.60727,   3.01473,  62.81341,   9.74753,   1.03611,  64.37456,   3.54874,  13.88391
   0.00208,  56.12890,  85.61350,   5.20698,  56.27019,  92.01461,   5.28660,  56.53764, 101.16570,   4.66450,  56.92608, 109.94112,   4.28118,  58.24977, 132.46485,   5.56956,  57.63533, 139.13956,   6.82838,  53.79396, 119.64247,   3.83106,  42.99471, 125.67250,   2.37868,  41.72393, 119.76263,   4.10587,  38.02262, 102.54926,   9.13655,  38.60026,  96.08710,  11.90733,  39.75945,  83.11894,  17.46771,  61.18532, 119.20535,   3.87888,  71.19360, 126.60728,   3.50426,  72.16867, 120.64625,   5.24777,  75.00871, 103.28384,  10.32600,  74.77281,  96.66185,  12.74759,  74.29940,  83.37295,  17.60720,  50.43663,  84.66136,   4.40949,  50.06232,  68.06788,   4.71421,  49.59880,  47.51937,   5.09154,  50.49040,  26.98971,   3.32971,  51.23252,   9.90217,   1.86328,  49.88022,   3.47758,  14.62354,  61.76606,  84.41195,   4.35652,  62.13771,  67.82244,   4.83611,  62.59793,  47.27907,   5.42998,  62.71194,  26.60626,   3.00299,  62.80492,   9.74660,   1.02367,  64.36557,   3.54789,  13.87157
   0.00417,  56.13410,  85.61180,   5.20851,  56.27511,  92.01290,   5.28893,  56.54217, 101.16409,   4.66803,  56.93035, 109.93958,   4.28595,  58.25382, 132.46312,   5.57776,  57.63817, 139.13765,   6.83693,  53.79805, 119.64095,   3.83764,  42.99815, 125.67048,   2.38798,  41.72755, 119.76031,   4.11424,  38.02677, 102.54604,   9.14224,  38.60501,  96.08355,  11.91212,  39.76542,  83.11472,  17.47069,  61.18941, 119.20393,   3.88472,  71.19731, 126.60650,   3.51255,  72.17262, 120.64498,   5.25426,  75.01334, 103.28115,  10.32725,  74.77718,  96.65892,  12.74813,  74.30324,  83.36952,  17.60633,  50.44184,  84.65951,   4.41110,  50.06741,  68.06603,   4.71546,  49.60373,  47.51751,   5.09237,  50.49554,  26.98775,   3.33185,  51.23782,   9.90012,   1.86650,  49.88510,   3.47653,  14.62722,  61.77128,  84.41060,   4.35771,  62.14253,  67.82111,   4.83843,  62.60227,  47.27778,   5.43371,  62.71559,  26.60507,   3.00581,  62.80800,   9.74550,   1.02574,  64.36813,   3.54686,  13.87374
   0.00625,  56.13000,  85.61180,   5.21070,  56.27072,  92.01290,   5.29190,  56.53737, 101.16417,   4.67216,  56.92527, 109.93973,   4.29128,  58.24852, 132.46309,   5.58641,  57.63163, 139.13745,   6.84593,  53.79278, 119.64112,   3.84476,  42.99222, 125.67013,   2.39778,  41.72183, 119.75964,   4.12313,  38.02162, 102.54447,   9.14846,  38.60051,  96.08165,  11.91746,  39.76222,  83.11218,  17.47425,  61.18415, 119.20421,   3.89107,  71.19169, 126.60741,   3.52142,  72.16731, 120.64541,   5.26132,  75.00896, 103.28020,  10.32903,  74.77261,  96.65772,  12.74924,  74.29832,  83.36783,  17.60607,  50.43776,  84.65935,   4.41336,  50.06294,  68.06587,   4.71735,  49.59880,  47.51735,   5.09380,  50.49085,  26.98749,   3.33459,  51.23334,   9.89978,   1.87034,  49.88018,   3.47720,  14.63152,  61.76721,  84.41096,   4.35957,  62.13809,  67.82150,   4.84140,  62.59738,  47.27819,   5.43807,  62.71009,  26.60559,   3.00924,  62.80201,   9.74611,   1.02841,  64.36161,   3.54750,  13.87649
   0.00833,  56.13150,  85.61310,   5.20980,  56.27193,  92.01420,   5.29176,  56.53815, 101.16556,   4.67317,  56.92577, 109.94118,   4.29348,  58.24879, 132.46437,   5.59189,  57.63064, 139.13854,   6.85173,  53.79308, 119.64259,   3.84873,  42.99185, 125.67103,   2.40443,  41.72157, 119.76024,   4.12884,  38.02169, 102.54421,   9.15143,  38.60115,  96.08105,  11.91952,  39.76400,  83.11089,  17.47448,  61.18446, 119.20579,   3.89424,  71.19162, 126.60962,   3.52717,  72.16745, 120.64712,   5.26524,  75.00970, 103.28045,  10.32762,  74.77304,  96.65774,  12.74715,  74.29811,  83.36737,  17.60261,  50.43927,  84.66048,   4.41254,  50.06439,  68.06699,   4.71613,  49.60016,  47.51847,   5.09208,  50.49285,  26.98852,   3.33415,  51.23586,   9.90074,   1.87097,  49.88236,   3.47912,  14.63260,  61.76873,  84.41263,   4.35833,  62.13899,  67.82318,   4.84127,  62.59749,  47.27990,   5.43930,  62.70929,  26.60741,   3.00952,  62.80047,   9.74801,   1.02792,  64.35942,   3.54941,  13.87608
   0.01042,  56.14530,  85.61160,   5.20967,  56.28543,  92.01269,   5.29239,  56.55122, 101.16415,   4.67494,  56.93856, 109.93983,   4.29643,  58.26134, 132.46284,   5.59809,  57.64194, 139.13684,   6.85827,  53.80566, 119.64125,   3.85345,  43.00377, 125.66915,   2.41182,  41.73370, 119.75805,   4.13531,  38.03442, 102.54111,   9.15522,  38.61455,  96.07763,  11.92242,  39.77874,  83.10683,  17.47560,  61.19706, 119.20457,   3.89816,  71.20384, 126.60903,   3.53368,  72.17998, 120.64606,   5.26991,  75.02314, 103.27798,  10.32697,  74.78627,  96.65502,  12.74582,  74.31093,  83.36418,  17.59993,  50.45309,  84.65880,   4.41249,  50.07786,  68.06531,   4.71567,  49.61319,  47.51680,   5.09112,  50.50580,  26.98673,   3.33450,  51.24876,   9.89886,   1.87240,  49.89492,   3.47825,  14.63450,  61.78256,  84.41150,   4.35787,  62.15248,  67.82208,   4.84190,  62.61056,  47.27883,   5.44130,  62.72183,  26.60644,   3.01057,  62.81258,   9.74713,   1.02819,  64.37100,   3.54856,  13.87643
   0.01250,  56.14190,  85.61030,   5.20524,  56.28173,  92.01139,   5.28873,  56.54710, 101.16293,   4.67242,  56.93416, 109.93868,   4.29511,  58.25672, 132.46152,   5.60005,  57.63606, 139.13533,   6.86055,  53.80107, 119.64012,   3.85390,  42.99852, 125.66748,   2.41495,  41.72865, 119.75606,   4.13752,  38.02996, 102.53822,   9.15477,  38.61075,  96.07442,  11.92109,  39.77627,  83.10298,  17.47248,  61.19248, 119.20355,   3.89783,  71.19889, 126.60864,   3.53591,  72.17534, 120.64518,   5.27032,  75.01940, 103.27571,  10.32204,  74.78235,  96.65251,  12.74022,  74.30663,  83.36118,  17.59296,  50.44971,  84.65733,   4.40814,  50.07440,  68.06384,   4.71092,  49.60964,  47.51531,   5.08588,  50.50288,  26.98517,   3.33055,  51.24636,   9.89722,   1.86953,  49.89218,   3.47758,  14.63208,  61.77919,  84.41056,   4.35310,  62.14876,  67.82117,   4.83824,  62.60641,  47.27795,   5.43901,  62.71712,  26.60567,   3.00733,  62.80741,   9.74645,   1.02417,  64.36530,   3.54791,  13.87249
   0.01458,  56.14650,  85.60910,   5.20505,  56.28604,  92.01019,   5.28932,  56.55100, 101.16182,   4.67418,  56.93779, 109.93763,   4.29808,  58.26013, 132.46029,   5.60637,  57.63824, 139.13392,   6.86722,  53.80451, 119.63909,   3.85867,  43.00131, 125.66591,   2.42241,  41.73153, 119.75421,   4.14405,  38.03312, 102.53551,   9.15857,  38.61444,  96.07137,  11.92397,  39.78101,  83.09924,  17.47354,  61.19593, 119.20262,   3.90182,  71.20197, 126.60834,   3.54242,  72.17864, 120.64439,   5.27501,  75.02333, 103.27348,  10.32145,  74.78599,  96.65004,  12.73893,  74.30969,  83.35823,  17.59029,  50.45433,  84.65597,   4.40802,  50.07892,  68.06247,   4.71044,  49.61403,  47.51394,   5.08493,  50.50787,  26.98371,   3.33091,  51.25185,   9.89569,   1.87097,  49.89735,   3.47702,  14.63397,  61.78382,  84.40972,   4.35257,  62.15272,  67.82035,   4.83884,  62.60956,  47.27715,   5.44099,  62.71929,  26.60497,   3.00838,  62.80878,   9.74584,   1.02447,  64.36603,   3.54731,  13.87288
   0.01667,  56.14500,  85.60850,   5.20271,  56.28427,  92.00958,   5.28779,  56.54884, 101.16131,   4.67385,  56.93538, 109.93718,   4.29900,  58.25751, 132.45965,   5.61075,  57.63442, 139.13311,   6.87195,  53.80192, 119.63867,   3.86141,  42.99808, 125.66500,   2.42787,  41.72858, 119.75297,   4.14861,  38.03098, 102.53333,   9.16050,  38.61301,  96.06888,  11.92502,  39.78101,  83.09612,  17.47281,  61.19335, 119.20230,   3.90384,  71.19899, 126.60867,   3.54685,  72.17591, 120.64424,   5.27766,  75.02133, 103.27193,  10.31888,  74.78374,  96.64824,  12.73566,  74.30694,  83.35594,  17.58560,  50.45284,  84.65523,   4.40575,  50.07730,  68.06173,   4.70783,  49.61224,  47.51319,   5.08191,  50.50626,  26.98286,   3.32920,  51.25039,   9.89475,   1.87037,  49.89547,   3.47708,  14.63382,  61.78234,  84.40947,   4.34989,  62.15084,  67.82012,   4.83730,  62.60716,  47.27695,   5.44087,  62.71617,  26.60488,   3.00735,  62.80507,   9.74583,   1.02271,  64.36181,   3.54735,  13.87120
   0.01875,  56.13150,  85.60900,   5.20400,  56.27052,  92.01007,   5.28992,  56.53473, 101.16190,   4.67724,  56.92103, 109.93784,   4.30370,  58.24298, 132.46011,   5.61905,  57.61873, 139.13338,   6.88063,  53.78741, 119.63935,   3.86797,  42.98294, 125.66522,   2.43718,  41.71361, 119.75289,   4.15699,  38.01648, 102.53236,   9.16619,  38.59908,  96.06757,  11.92980,  39.76821,  83.09412,  17.47576,  61.17885, 119.20307,   3.90971,  71.18408, 126.61011,   3.55502,  72.16129, 120.64522,   5.28407,  75.00755, 103.27157,  10.32017,  74.76978,  96.64762,  12.73623,  74.29264,  83.35480,  17.58473,  50.43935,  84.65561,   4.40711,  50.06361,  68.06211,   4.70891,  49.59832,  47.51357,   5.08263,  50.49281,  26.98314,   3.33126,  51.23732,   9.89496,   1.87353,  49.88215,   3.47830,  14.63748,  61.76886,  84.41031,   4.35083,  62.13718,  67.82099,   4.83941,  62.59329,  47.27786,   5.44444,  62.70179,  26.60588,   3.01006,  62.79027,   9.74691,   1.02471,  64.34663,   3.54855,  13.87330
