time,hip.x,hip.y,hip.z,abdomen.x,abdomen.y,abdomen.z,chest.x,chest.y,chest.z,neck.x,neck.y,neck.z,head.x,head.y,head.z,leftEye.x,leftEye.y,leftEye.z,rightEye.x,rightEye.y,rightEye.z,rCollar.x,rCollar.y,rCollar.z,rShldr.x,rShldr.y,rShldr.z,rForeArm.x,rForeArm.y,rForeArm.z,rHand.x,rHand.y,rHand.z,rThumb1.x,rThumb1.y,rThumb1.z,rThumb2.x,rThumb2.y,rThumb2.z,rIndex1.x,rIndex1.y,rIndex1.z,rIndex2.x,rIndex2.y,rIndex2.z,rMid1.x,rMid1.y,rMid1.z,rMid2.x,rMid2.y,rMid2.z,rRing1.x,rRing1.y,rRing1.z,rRing2.x,rRing2.y,rRing2.z,rPinky1.x,rPinky1.y,rPinky1.z,rPinky2.x,rPinky2.y,rPinky2.z,lCollar.x,lCollar.y,lCollar.z,lShldr.x,lShldr.y,lShldr.z,lForeArm.x,lForeArm.y,lForeArm.z,lHand.x,lHand.y,lHand.z,lThumb1.x,lThumb1.y,lThumb1.z,lThumb2.x,lThumb2.y,lThumb2.z,lIndex1.x,lIndex1.y,lIndex1.z,lIndex2.x,lIndex2.y,lIndex2.z,lMid1.x,lMid1.y,lMid1.z,lMid2.x,lMid2.y,lMid2.z,lRing1.x,lRing1.y,lRing1.z,lRing2.x,lRing2.y,lRing2.z,lPinky1.x,lPinky1.y,lPinky1.z,lPinky2.x,lPinky2.y,lPinky2.z,rButtock.x,rButtock.y,rButtock.z,rThigh.x,rThigh.y,rThigh.z,rShin.x,rShin.y,rShin.z,rFoot.x,rFoot.y,rFoot.z,lButtock.x,lButtock.y,lButtock.z,lThigh.x,lThigh.y,lThigh.z,lShin.x,lShin.y,lShin.z,lFoot.x,lFoot.y,lFoot.z
   0.00000,  53.68420,  83.80080, -93.08740,  53.68420, 104.48890, -93.81892,  54.10297, 116.18570, -94.30683,  55.12024, 138.35200, -96.49897,  55.19570, 145.42712, -95.27966,  59.68190, 153.27666, -87.22102,  51.88716, 153.63232, -87.24188,  52.31461, 135.55127, -99.18869,  43.45269, 134.00270, -97.74934,  15.22856, 133.57717, -97.33716,  -7.31946, 135.37923, -90.32613,  -8.56876, 134.94744, -86.91569, -11.96864, 134.57717, -83.51101, -15.04307, 136.67031, -84.73847, -17.62548, 135.90287, -83.17999, -15.51325, 136.93609, -86.93430, -18.64141, 136.48799, -85.87796, -16.11761, 136.32775, -88.83290, -18.76154, 135.62776, -88.85981, -15.58380, 135.70853, -90.80665, -17.43687, 135.14510, -91.51258,  57.67349, 135.30675, -99.17435,  66.34975, 132.95796, -97.68806,  94.41525, 129.96405, -97.12525, 116.99592, 129.70699, -89.99345, 118.18247, 129.16406, -86.57649, 121.51627, 128.48654, -83.15379, 124.77506, 130.29071, -84.36430, 127.26849, 129.29168, -82.79223, 125.27920, 130.51203, -86.55752, 128.34787, 129.78118, -85.48460, 125.83579, 129.85073, -88.45301, 128.40510, 128.91287, -88.46597, 125.25836, 129.28221, -90.42974, 127.05616, 128.55219, -91.12590,  44.90596,  88.15164, -91.86820,  44.90596,  86.44477, -94.06276,  44.23272,  49.67646, -92.09344,  44.13324,   4.31272, -94.04936,  62.46244,  88.15164, -91.86820,  62.46244,  86.44477, -94.06276,  61.15314,  50.05596, -88.55091,  58.76509,   5.04836, -94.05699
   0.00833,  52.22850,  83.32170, -93.78850,  53.58516, 103.92753, -95.23483,  54.58526, 115.57763, -95.94429,  56.67884, 137.60829, -98.67421,  57.01177, 144.67129, -97.42810,  60.40484, 152.02784, -88.42524,  52.79816, 152.94632, -89.90166,  54.16079, 134.80153,-101.62918,  45.13628, 133.58281,-101.35310,  18.87944, 123.50609,-103.80066,  -3.36604, 118.71262, -97.24502,  -4.56892, 118.11581, -93.84279,  -7.84450, 116.94504, -90.49794, -11.34515, 117.97278, -91.92247, -13.65032, 116.56453, -90.37660, -11.78496, 117.97060, -94.14056, -14.68500, 116.67973, -93.12791, -12.10938, 117.11072, -96.01014, -14.43014, 115.66386, -96.05176, -11.34007, 116.57109, -97.92875, -12.91810, 115.45074, -98.63889,  59.45719, 134.39069,-100.88285,  67.76635, 131.82742, -98.16423,  92.07492, 122.02481, -87.67828, 115.37874, 117.90541, -88.56004, 117.39019, 116.12669, -86.07639, 121.41541, 114.12860, -84.31759, 124.43095, 116.10526, -85.84710, 127.08588, 114.50469, -85.57111, 124.31870, 117.07423, -87.88716, 127.41717, 115.87771, -88.15153, 124.20633, 117.11109, -89.96707, 126.49203, 116.13096, -91.10548, 123.01151, 117.31200, -91.72665, 124.40441, 116.80298, -93.15857,  43.64806,  88.20421, -93.89305,  43.82911,  86.40811, -96.00745,  40.83097,  49.86686, -92.54501,  38.97155,   4.84856, -98.16637,  61.02277,  87.22320, -91.57200,  61.20382,  85.42710, -93.68641,  58.31973,  49.17751, -87.86492,  55.98911,   4.66348, -96.51206
   0.01667,  52.25490,  83.32490, -93.78100,  53.56650, 103.93246, -95.24415,  54.33882, 115.60674, -95.82986,  55.80414, 137.69604, -98.49469,  56.09479, 144.70554, -96.96756,  58.91540, 151.44151, -87.30557,  51.42143, 152.50060, -89.20389,  53.37728, 134.82591,-101.46504,  44.39089, 133.34659,-101.22075,  24.66756, 113.17674,-102.27915,   6.76848, 101.09867, -92.55503,   6.19051, 100.46784, -88.99887,   3.91068,  98.54217, -85.20648,   0.16683,  98.06105, -86.25154,  -1.29141,  96.07984, -84.34496,  -0.43871,  97.66286, -88.39353,  -2.53799,  95.51605, -86.94913,  -0.58441,  96.55077, -90.14910,  -2.18613,  94.35974, -89.81007,   0.15424,  96.12961, -92.10897,  -0.94530,  94.44120, -92.54478,  58.68100, 134.56601,-100.70305,  67.05225, 132.23608, -97.96497,  85.67157, 118.40695, -81.87061, 104.96202, 112.51724, -94.28049, 107.41692, 109.92599, -93.48229, 111.30589, 107.18252, -94.28067, 113.73932, 109.27978, -96.52120, 115.87676, 107.46470, -97.87156, 112.98499, 110.81818, -97.99689, 115.37161, 109.51332, -99.92132, 112.02313, 111.48173, -99.72157, 113.36918, 110.70746,-101.97318, 110.27089, 112.29164,-100.63688, 110.80048, 112.12367,-102.62207,  43.66385,  88.18867, -93.88777,  43.84839,  86.39127, -96.00077,  41.11472,  49.86586, -92.17167,  39.87888,   5.85071,-103.25516,  61.04110,  87.24728, -91.56937,  61.22564,  85.44987, -93.68237,  59.84260,  48.99871, -88.61878,  59.67252,   5.56272,-101.84718
   0.02500,  52.24070,  83.32370, -93.77760,  53.59103, 103.92818, -95.24893,  54.20239, 115.61722, -95.71908,  55.18418, 137.74134, -98.31613,  55.45414, 144.69219, -96.53781,  57.75227, 150.84004, -86.35912,  50.38380, 152.06688, -88.61421,  52.82807, 134.82702,-101.30038,  43.87611, 133.14842,-101.08096,  32.96613, 107.11576,-100.60623,  21.11760,  91.01559, -87.90930,  21.00450,  90.67407, -84.26940,  19.74717,  88.58824, -80.10328,  16.33234,  86.77301, -80.72287,  15.75084,  84.67329, -78.50032,  15.76908,  85.93571, -82.74648,  14.61393,  83.41228, -80.90257,  15.90304,  84.62988, -84.36415,  15.16299,  82.09266, -83.65992,  16.62052,  84.23729, -86.33778,  16.13448,  82.24042, -86.49882,  58.13454, 134.68232,-100.52702,  66.54921, 132.53015, -97.77660,  78.83187, 117.07696, -77.59523,  88.65929, 107.78808, -97.03627,  90.34177, 104.55902, -97.38369,  92.58644, 101.02619, -99.78549,  94.42437, 102.69650,-102.81404,  95.20333, 100.58601,-104.96479,  93.63580, 104.56586,-103.81256,  94.55281, 102.95575,-106.58180,  92.30893, 105.68817,-104.96138,  92.34925, 104.90295,-107.58109,  90.66251, 107.04723,-105.04108,  90.27999, 107.01916,-107.06655,  43.65904,  88.20416, -93.87791,  43.83808,  86.40568, -95.99048,  41.22592,  49.90561, -91.84785,  40.13995,   7.36665,-107.68963,  61.03661,  87.22971, -91.57558,  61.21565,  85.43124, -93.68815,  61.03711,  48.86551, -89.31143,  62.47998,   6.87661,-106.53220
   0.03333,  52.30570,  83.29560, -93.75560,  53.56607, 103.90281, -95.26789,  53.99423, 115.60240, -95.67363,  54.49430, 137.74477, -98.25260,  54.70671, 144.65308, -96.30845,  56.60222, 150.41905, -85.82781,  49.31988, 151.71731, -88.31117,  52.20205, 134.78231,-101.23919,  43.28874, 132.90915,-101.02097,  39.68449, 104.95939, -99.35569,  32.79240,  87.77477, -84.59076,  32.88227,  87.77486, -80.93423,  32.31278,  85.86476, -76.53931,  29.43615,  83.22058, -76.81015,  29.46322,  81.27100, -74.38423,  29.03428,  82.07689, -78.71903,  28.59887,  79.54158, -76.60133,  29.43641,  80.69079, -80.22137,  29.37042,  78.13146, -79.25880,  30.16615,  80.29310, -82.18947,  30.18500,  78.23212, -82.14865,  57.51044, 134.75247,-100.46605,  65.97005, 132.78167, -97.71755,  73.77555, 117.63914, -75.20687,  74.12495, 105.74197, -95.68003,  74.65810, 102.16256, -96.21092,  75.00235,  98.12792, -98.83605,  76.23332,  99.18878,-102.39967,  75.71106,  96.94209,-104.48924,  75.73333, 101.20646,-103.28982,  75.29022,  99.39794,-106.05296,  74.48940, 102.66642,-104.10293,  73.52064, 101.90258,-106.54406,  73.34103, 104.44638,-103.82532,  72.37551, 104.53030,-105.64476,  43.70353,  88.14009, -93.84103,  43.88425,  86.33854, -95.95083,  41.60718,  49.84855, -91.53094,  40.70232,   8.60619,-110.50339,  61.09128,  87.24220, -91.58494,  61.27200,  85.44065, -93.69474,  62.15958,  48.83921, -89.72141,  64.83640,   8.09778,-109.58783
   0.04167,  52.31710,  83.26680, -93.74020,  53.56354, 103.87301, -95.27740,  53.92311, 115.57579, -95.65711,  54.22448, 137.72293, -98.22597,  54.41457, 144.61202, -96.21254,  56.13605, 150.24747, -85.63137,  48.89008, 151.56316, -88.21008,  51.96378, 134.74094,-101.21717,  43.06767, 132.78627,-101.01282,  42.42227, 104.64231, -98.90255,  37.47127,  87.43780, -83.40068,  37.60660,  87.58373, -79.74847,  37.28150,  85.79351, -75.27884,  34.67355,  82.87425, -75.40757,  34.92125,  81.02886, -72.91361,  34.36132,  81.62618, -77.26719,  34.20209,  79.14177, -75.05260,  34.87793,  80.23032, -78.72482,  35.07418,  77.71457, -77.66954,  35.61824,  79.83184, -80.68880,  35.83870,  77.78541, -80.57392,  57.27109, 134.75930,-100.43626,  65.74433, 132.86471, -97.67619,  71.77636, 118.17208, -74.33752,  68.06441, 105.63798, -94.08424,  68.04878, 102.00372, -94.49670,  67.54117,  97.87601, -96.94465,  68.47689,  98.63855,-100.67065,  67.41811,  96.41808,-102.57727,  68.15012, 100.67556,-101.59647,  67.14888,  98.85571,-104.20178,  67.02577, 102.26593,-102.33575,  65.68449, 101.56344,-104.61359,  66.16594, 104.19576,-102.01863,  65.01390, 104.35242,-103.72095,  43.71182,  88.10576, -93.82621,  43.89243,  86.30185, -95.93400,  41.77354,  49.81642, -91.39925,  40.90099,   9.12732,-111.53231,  61.10147,  87.22149, -91.57938,  61.28207,  85.41758, -93.68718,  62.58469,  48.81775, -89.81475,  65.73431,   8.61619,-110.68624
   0.05000,  52.28860,  83.26460, -93.75240,  53.58369, 103.86765, -95.29171,  53.96136, 115.57002, -95.66660,  54.27463, 137.71886, -98.21932,  54.47313, 144.60621, -96.20076,  56.19630, 150.28953, -85.64550,  48.94653, 151.58495, -88.22382,  52.01921, 134.73964,-101.21726,  43.12211, 132.78749,-101.03262,  42.14401, 104.64539, -99.02820,  36.94174,  87.36094, -83.69850,  37.08601,  87.47172, -80.04540,  36.74689,  85.64495, -75.59163,  34.10181,  82.76031, -75.74162,  34.33090,  80.88918, -73.26512,  33.77013,  81.53336, -77.61190,  33.58367,  79.03102, -75.41974,  34.26614,  80.14446, -79.08326,  34.43246,  77.61688, -78.05139,  34.99751,  79.75460, -81.05232,  35.19217,  77.70458, -80.95657,  57.32490, 134.75586,-100.42540,  65.79187, 132.85681, -97.64920,  71.89935, 118.14527, -74.34207,  68.69645, 105.61957, -94.18302,  68.72761, 101.98604, -94.60112,  68.30774,  97.85719, -97.06372,  69.29987,  98.63613,-100.77169,  68.29873,  96.40750,-102.69980,  68.96710, 100.67103,-101.70002,  68.03129,  98.84479,-104.32512,  67.83853, 102.25033,-102.45642,  66.54487, 101.53713,-104.75835,  66.95233, 104.17015,-102.15146,  65.82848, 104.31716,-103.87338,  43.69463,  88.12353, -93.84320,  43.87206,  86.31893, -95.95067,  41.76774,  49.83016, -91.43610,  40.86568,   9.05694,-111.39693,  61.08109,  87.19914, -91.58787,  61.25852,  85.39454, -93.69533,  62.50000,  48.80300, -89.72567,  65.61381,   8.54331,-110.49020
   0.05833,  52.30400,  83.25600, -93.76390,  53.59351, 103.85954, -95.30137,  53.97779, 115.56153, -95.68122,  54.29895, 137.71229, -98.21623,  54.49620, 144.60555, -96.21780,  56.30491, 150.41990, -85.74856,  49.02215, 151.65199, -88.26418,  52.03949, 134.73654,-101.21458,  43.14166, 132.78833,-101.02357,  40.62586, 104.72055, -99.34326,  34.40930,  87.32483, -84.52576,  34.55463,  87.32876, -80.87102,  34.11455,  85.40220, -76.46843,  31.32191,  82.66553, -76.69620,  31.44939,  80.71847, -74.27146,  30.92863,  81.50886, -78.59905,  30.60835,  78.96122, -76.47560,  31.35289,  80.13625, -80.10766,  31.38505,  77.57636, -79.14483,  32.06525,  79.76208, -82.08671,  32.15193,  77.70282, -82.04669,  57.34589, 134.74969,-100.42744,  65.81446, 132.84450, -97.66034,  72.87045, 117.94626, -74.74292,  72.00157, 105.67703, -94.97968,  72.32931, 102.06482, -95.45173,  72.38107,  97.96813, -98.00174,  73.55762,  98.89365,-101.62102,  72.85479,  96.63839,-103.64748,  73.13776, 100.91768,-102.53773,  72.51659,  99.08281,-105.24872,  71.94832, 102.42596,-103.34416,  70.86719, 101.66823,-105.73959,  70.90415, 104.26949,-103.06999,  69.88970, 104.36987,-104.86177,  43.70934,  88.11405, -93.83451,  43.88228,  86.30995, -95.94278,  41.88214,  49.80774, -91.48989,  41.02837,   8.68820,-110.72941,  61.10086,  87.19097, -91.61799,  61.27380,  85.38687, -93.72626,  62.41410,  48.81243, -89.57288,  65.37702,   8.26349,-109.78942
   0.06667,  52.26940,  83.24690, -93.82150,  53.64706, 103.84610, -95.34065,  54.07557, 115.54694, -95.70807,  54.47585, 137.70121, -98.20085,  54.69513, 144.59303, -96.19976,  56.59150, 150.49148, -85.79327,  49.28856, 151.70543, -88.25870,  52.20069, 134.73975,-101.20146,  43.29593, 132.82449,-101.00058,  39.76746, 104.85276, -99.55669,  32.90055,  87.42942, -85.06227,  33.04646,  87.36441, -81.40813,  32.54042,  85.37760, -77.03954,  29.65443,  82.74389, -77.31298,  29.71461,  80.75149, -74.92271,  29.22096,  81.63501, -79.23544,  28.81276,  79.06329, -77.15658,  29.59710,  80.27509, -80.76812,  29.54052,  77.69919, -79.85018,  30.29575,  79.91109, -82.75394,  30.31091,  77.84968, -82.74997,  57.50829, 134.73151,-100.42243,  65.97388, 132.78928, -97.67199,  73.56089, 117.76259, -75.00950,  74.02748, 105.71056, -95.38954,  74.50604, 102.11740, -95.87789,  74.81168,  98.05060, -98.45777,  76.10055,  99.05371,-102.01764,  75.56403,  96.79459,-104.09013,  75.64481, 101.07017,-102.93391,  75.20244,  99.24084,-105.68344,  74.43499, 102.54230,-103.77602,  73.48108, 101.76960,-106.22022,  73.31380, 104.34406,-103.52970,  72.37044, 104.42533,-105.36085,  43.69648,  88.14355, -93.86256,  43.85535,  86.34096, -95.97323,  41.80321,  49.83382, -91.58486,  40.81024,   8.51654,-110.38913,  61.08989,  87.14004, -91.69635,  61.24875,  85.33745, -93.80702,  62.20728,  48.77202, -89.53031,  64.91477,   8.06167,-109.45621
   0.07500,  52.14820,  83.23670, -93.92060,  53.74044, 103.82365, -95.39539,  54.25740, 115.52203, -95.72570,  54.82929, 137.68120, -98.14017,  55.09130, 144.56117, -96.10376,  57.03435, 150.47933, -85.71709,  49.73781, 151.73396, -88.18108,  52.53591, 134.74762,-101.15428,  43.61660, 132.89934,-100.97233,  39.88039, 104.94895, -99.64235,  32.88297,  87.53438, -85.19991,  33.02504,  87.45775, -81.54584,  32.50035,  85.46213, -77.18347,  29.59529,  82.85058, -77.46711,  29.63858,  80.85090, -75.08256,  29.15542,  81.75047, -79.39316,  28.72637,  79.17584, -77.32212,  29.52294,  80.39224, -80.92943,  29.44653,  77.81419, -80.01899,  30.22071,  80.02883, -82.91567,  30.22068,  77.96736, -82.91764,  57.84221, 134.69634,-100.36800,  66.28896, 132.68027, -97.61280,  73.69738, 117.56658, -74.94908,  74.13366, 105.51827, -95.33199,  74.56241, 101.91805, -95.81449,  74.82170,  97.84456, -98.38890,  76.14255,  98.82516,-101.94331,  75.58352,  96.57192,-104.01625,  75.72067, 100.84707,-102.86378,  75.26536,  99.02151,-105.61369,  74.53652, 102.33574,-103.71328,  73.58357, 101.57443,-106.16143,  73.44041, 104.15384,-103.47425,  72.50737, 104.24689,-105.31013,  43.62677,  88.22248, -93.95106,  43.76688,  86.42289, -96.06561,  41.45061,  49.92301, -91.74888,  40.14411,   8.60993,-110.54321,  61.00874,  87.03314, -91.78713,  61.14885,  85.23354, -93.90168,  61.82553,  48.66718, -89.57930,  64.24066,   7.98062,-109.59119
