time,Hips.x,Hips.y,Hips.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,LeftToeBase.x,LeftToeBase.y,LeftToeBase.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,RightToeBase.x,RightToeBase.y,RightToeBase.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb.x,LeftHandThumb.y,LeftHandThumb.z,L_Wrist_End.x,L_Wrist_End.y,L_Wrist_End.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb.x,RightHandThumb.y,RightHandThumb.z,R_Wrist_End.x,R_Wrist_End.y,R_Wrist_End.z
   0.00000,   1.14730,  32.80290,   1.71580,   4.74911,  32.62628,   2.27692,   6.48903,  17.01729,   2.34139,   8.38799,   1.97235,  -0.44773,   8.01160,   0.80422,   5.35641,  -2.45451,  32.97952,   1.15468,  -3.30703,  17.29937,   1.43458,  -3.58258,   1.99725,  -0.43742,  -5.01859,   1.80809,   5.31552,   1.14899,  32.84220,   1.71735,   1.85988,  43.06200,   1.43839,   2.02913,  50.78002,   2.72811,   2.33080,  57.47733,   4.39059,   2.02913,  50.78002,   2.72811,   8.69808,  51.18014,   2.10247,   9.60921,  40.27652,   1.86536,   9.74961,  31.84211,   3.06247,   9.74961,  31.84211,   3.06247,   8.47793,  28.13965,   3.48033,   2.02913,  50.78002,   2.72811,  -3.96483,  51.37562,  -0.22897,  -6.02839,  40.63290,  -0.56213,  -7.63982,  32.35597,   0.65762,  -7.63982,  32.35597,   0.65762,  -7.36253,  27.08695,   1.77675
   0.00833,   1.12010,  32.80270,   1.70490,   4.72312,  32.62715,   2.25853,   6.47687,  17.01976,   2.33637,   8.39077,   1.97554,  -0.44641,   8.00967,   0.80721,   5.35738,  -2.48292,  32.97825,   1.15127,  -3.32395,  17.29829,   1.47311,  -3.57763,   2.00085,  -0.43981,  -5.01022,   1.82455,   5.31439,   1.12178,  32.84200,   1.70643,   1.83360,  43.06187,   1.43249,   2.00526,  50.77721,   2.73789,   2.33139,  57.46999,   4.41392,   2.00526,  50.77721,   2.73789,   8.67277,  51.18447,   2.10150,   9.57096,  40.28118,   1.80687,   9.63436,  31.85898,   3.09320,   9.63436,  31.85898,   3.09320,   8.51730,  28.11506,   3.57822,   2.00526,  50.77721,   2.73789,  -4.00183,  51.36280,  -0.19441,  -5.90932,  40.59268,  -0.57044,  -7.37653,  32.29174,   0.66804,  -7.37653,  32.29174,   0.66804,  -6.90172,  27.02563,   1.73317
   0.01667,   1.09470,  32.80040,   1.68900,   4.69973,  32.62542,   2.22955,   6.46289,  17.01930,   2.34166,   8.38476,   1.97704,  -0.44618,   8.00682,   0.80901,   5.35788,  -2.51033,  32.97538,   1.14845,  -3.34123,  17.29588,   1.51588,  -3.57426,   2.00399,  -0.44348,  -4.99845,   1.84157,   5.31322,   1.09638,  32.83971,   1.69050,   1.80778,  43.05976,   1.42242,   1.97997,  50.77200,   2.74589,   2.31998,  57.45858,   4.44377,   1.97997,  50.77200,   2.74589,   8.64501,  51.18810,   2.08966,   9.56630,  40.28745,   1.76966,   9.60682,  31.87683,   3.13050,   9.60682,  31.87683,   3.13050,   8.63223,  28.10380,   3.69123,   1.97997,  50.77200,   2.74589,  -4.03897,  51.35247,  -0.16305,  -5.82551,  40.56194,  -0.54779,  -7.17876,  32.23917,   0.67376,  -7.17876,  32.23917,   0.67376,  -6.48691,  26.98766,   1.69107
   0.02500,   1.07090,  32.79760,   1.68170,   4.67702,  32.62380,   2.21533,   6.44934,  17.01882,   2.34010,   8.38275,   1.97798,  -0.44746,   8.00362,   0.81765,   5.35806,  -2.53522,  32.97140,   1.14807,  -3.35328,  17.29192,   1.54416,  -3.56698,   2.00371,  -0.44593,  -4.98479,   1.85816,   5.31279,   1.07257,  32.83691,   1.68319,   1.78189,  43.05725,   1.42064,   1.95220,  50.76672,   2.76038,   2.30859,  57.44656,   4.48127,   1.95220,  50.76672,   2.76038,   8.61499,  51.19266,   2.08784,   9.60167,  40.29856,   1.74078,   9.64374,  31.90198,   3.18570,   9.64374,  31.90198,   3.18570,   8.78082,  28.10808,   3.78706,   1.95220,  50.76672,   2.76038,  -4.07564,  51.34201,  -0.13110,  -5.78264,  40.53965,  -0.54396,  -7.06533,  32.20805,   0.69348,  -7.06533,  32.20805,   0.69348,  -6.22492,  26.96247,   1.62594
   0.03333,   1.05220,  32.79760,   1.66750,   4.66007,  32.62528,   2.18966,   6.43985,  17.02145,   2.34825,   8.37731,   1.98320,  -0.45042,   8.00134,   0.82575,   5.35589,  -2.55567,  32.96992,   1.14534,  -3.36608,  17.29115,   1.58282,  -3.55947,   2.00854,  -0.45188,  -4.97480,   1.87601,   5.30776,   1.05386,  32.83691,   1.66898,   1.75635,  43.05802,   1.41819,   1.92193,  50.76369,   2.78021,   2.29702,  57.43884,   4.51525,   1.92193,  50.76369,   2.78021,   8.58255,  51.18643,   2.08456,   9.67406,  40.30313,   1.71345,   9.73556,  31.92352,   3.25308,   9.73556,  31.92352,   3.25308,   8.92970,  28.12297,   3.89054,   1.92193,  50.76369,   2.78021,  -4.11306,  51.33614,  -0.09688,  -5.79003,  40.53042,  -0.54368,  -7.05024,  32.19525,   0.69280,  -7.05024,  32.19525,   0.69280,  -6.15510,  26.95244,   1.58924
   0.04167,   1.04080,  32.79560,   1.65790,   4.64991,  32.62527,   2.17209,   6.43111,  17.02182,   2.35051,   8.36979,   1.98458,  -0.45273,   7.99677,   0.83351,   5.35504,  -2.56831,  32.96593,   1.14371,  -3.37575,  17.28785,   1.61063,  -3.55810,   2.00945,  -0.45645,  -4.96511,   1.90008,   5.30571,   1.04244,  32.83491,   1.65942,   1.73084,  43.05750,   1.43132,   1.88582,  50.76076,   2.80818,   2.28166,  57.43070,   4.55857,   1.88582,  50.76076,   2.80818,   8.54364,  51.18022,   2.08434,   9.77870,  40.31336,   1.68283,   9.84595,  31.95395,   3.32842,   9.84595,  31.95395,   3.32842,   9.05603,  28.15632,   4.00218,   1.88582,  50.76076,   2.80818,  -4.15541,  51.33406,  -0.05564,  -5.84324,  40.53291,  -0.56719,  -7.12227,  32.20402,   0.69208,  -7.12227,  32.20402,   0.69208,  -6.22090,  26.96026,   1.57662
   0.05000,   1.02380,  32.79580,   1.64660,   4.63369,  32.62682,   2.15576,   6.42241,  17.02437,   2.34552,   8.36665,   1.98743,  -0.45556,   7.99058,   0.84879,   5.35446,  -2.58609,  32.96478,   1.13744,  -3.38698,  17.28757,   1.64326,  -3.55639,   2.01403,  -0.46047,  -4.95464,   1.92814,   5.30423,   1.02542,  32.83511,   1.64818,   1.70535,  43.05861,   1.43563,   1.85351,  50.75887,   2.82988,   2.26343,  57.42118,   4.60590,   1.85351,  50.75887,   2.82988,   8.50784,  51.17523,   2.07283,   9.89938,  40.32743,   1.66781,   9.97803,  31.98885,   3.41538,   9.97803,  31.98885,   3.41538,   9.15879,  28.20070,   4.10728,   1.85351,  50.75887,   2.82988,  -4.19948,  51.33054,  -0.00930,  -5.93007,  40.53948,  -0.58663,  -7.24917,  32.21868,   0.68472,  -7.24917,  32.21868,   0.68472,  -6.41711,  26.97497,   1.63503
   0.05833,   1.00500,  32.79410,   1.63420,   4.61577,  32.62614,   2.13742,   6.41653,  17.02528,   2.34400,   8.36209,   1.98821,  -0.45543,   7.98427,   0.85825,   5.35617,  -2.60577,  32.96206,   1.13098,  -3.39626,  17.28591,   1.68364,  -3.55158,   2.01833,  -0.46402,  -4.93965,   1.94852,   5.30335,   1.00659,  32.83340,   1.63588,   1.67745,  43.05786,   1.44143,   1.81937,  50.75454,   2.85596,   2.24620,  57.40622,   4.66751,   1.81937,  50.75454,   2.85596,   8.46889,  51.16066,   2.05259,  10.05119,  40.33941,   1.63760,  10.10803,  32.02634,   3.50355,  10.10803,  32.02634,   3.50355,   9.25544,  28.25028,   4.22079,   1.81937,  50.75454,   2.85596,  -4.24093,  51.33263,   0.03371,  -6.03981,  40.55501,  -0.58453,  -7.41408,  32.24196,   0.67911,  -7.41408,  32.24196,   0.67911,  -6.68087,  26.99707,   1.70156
   0.06666,   0.98540,  32.79260,   1.62840,   4.59713,  32.62606,   2.12510,   6.41202,  17.02702,   2.34554,   8.36302,   1.99118,  -0.45663,   7.97798,   0.87514,   5.35718,  -2.62633,  32.95914,   1.13170,  -3.40610,  17.28363,   1.71689,  -3.54532,   2.02074,  -0.46490,  -4.91986,   1.96628,   5.30588,   0.98698,  32.83190,   1.63010,   1.65488,  43.05668,   1.44255,   1.79476,  50.74835,   2.88431,   2.22115,  57.39303,   4.72147,   1.79476,  50.74835,   2.88431,   8.44282,  51.15612,   2.06980,  10.17098,  40.35700,   1.66021,  10.26885,  32.06449,   3.61387,  10.26885,  32.06449,   3.61387,   9.39122,  28.29419,   4.33121,   1.79476,  50.74835,   2.88431,  -4.27926,  51.32812,   0.09205,  -6.17146,  40.57005,  -0.58528,  -7.60838,  32.26849,   0.68419,  -7.60838,  32.26849,   0.68419,  -6.97777,  27.01691,   1.74018
   0.07500,   0.97720,  32.79050,   1.61290,   4.59089,  32.62725,   2.09626,   6.40913,  17.02873,   2.32518,   8.36712,   1.99004,  -0.45684,   7.97342,   0.88669,   5.35882,  -2.63649,  32.95375,   1.12954,  -3.41185,  17.27895,   1.73900,  -3.54799,   2.01937,  -0.46602,  -4.90440,   1.97939,   5.30917,   0.97873,  32.82980,   1.61476,   1.63045,  43.05606,   1.45283,   1.76210,  50.74355,   2.91741,   2.20071,  57.37945,   4.78320,   1.76210,  50.74355,   2.91741,   8.40506,  51.14757,   2.06047,  10.30420,  40.37581,   1.68928,  10.42055,  32.10061,   3.71402,  10.42055,  32.10061,   3.71402,   9.52154,  28.33681,   4.43900,   1.76210,  50.74355,   2.91741,  -4.32059,  51.33347,   0.14625,  -6.31917,  40.59735,  -0.57262,  -7.82584,  32.30687,   0.68833,  -7.82584,  32.30687,   0.68833,  -7.30755,  27.04475,   1.75290
