time,Hips.x,Hips.y,Hips.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,LeftToeBase.x,LeftToeBase.y,LeftToeBase.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,RightToeBase.x,RightToeBase.y,RightToeBase.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb.x,LeftHandThumb.y,LeftHandThumb.z,L_Wrist_End.x,L_Wrist_End.y,L_Wrist_End.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb.x,RightHandThumb.y,RightHandThumb.z,R_Wrist_End.x,R_Wrist_End.y,R_Wrist_End.z
   0.00000,  -4.33580,  32.73940,   8.20620,  -0.71838,  32.52997,   8.64148,  -0.46272,  17.23768,  12.21258,   1.24268,   2.42181,   8.29891,  -0.46623,   1.16673,  13.83955,  -7.95322,  32.94883,   7.77092,  -7.55078,  17.27849,   8.74590,  -6.60975,   2.05090,   6.51646,  -7.79732,   1.75849,  12.32150,  -4.33342,  32.77869,   8.20532,  -3.68860,  42.94527,   7.08630,  -3.53114,  50.69716,   8.15556,  -3.11002,  57.35945,   9.92905,  -3.53114,  50.69716,   8.15556,   3.12256,  50.92708,   7.31775,   6.90863,  41.09808,  10.28957,   7.51075,  41.48209,  18.77969,   7.51075,  41.48209,  18.77969,   7.11040,  43.31689,  22.23992,  -3.53114,  50.69716,   8.15556,  -9.90101,  51.12880,   6.09039, -16.16546,  42.51964,   8.62304, -18.35096,  43.12171,  16.83603, -18.35096,  43.12171,  16.83603, -19.39677,  44.25938,  22.00361
   0.00833,  -4.36830,  32.74380,   8.20160,  -0.75106,  32.53788,   8.64005,  -0.50455,  17.25457,  12.25001,   1.18152,   2.45569,   8.26433,  -0.50158,   1.17438,  13.80687,  -7.98554,  32.94972,   7.76315,  -7.55659,  17.28056,   8.74585,  -6.60273,   2.05224,   6.52690,  -7.78766,   1.74023,  12.33145,  -4.36595,  32.78309,   8.20068,  -3.72939,  42.94891,   7.07006,  -3.57208,  50.70180,   8.13209,  -3.14789,  57.36583,   9.89831,  -3.57208,  50.70180,   8.13209,   3.08355,  50.92228,   7.30717,   6.86738,  41.10896,  10.33317,   7.45545,  41.49636,  18.82412,   7.45545,  41.49636,  18.82412,   7.07586,  43.31414,  22.29565,  -3.57208,  50.70180,   8.13209,  -9.94278,  51.13930,   6.07072, -16.18731,  42.52861,   8.64697, -18.35805,  43.09580,  16.86636, -18.35805,  43.09580,  16.86636, -19.39062,  44.19318,  22.04530
   0.01667,  -4.39800,  32.74940,   8.20250,  -0.78093,  32.54831,   8.64455,  -0.54775,  17.27208,  12.28527,   1.11906,   2.49249,   8.22068,  -0.55069,   1.19956,  13.76456,  -8.01507,  32.95049,   7.76045,  -7.55927,  17.28167,   8.73634,  -6.59477,   2.05146,   6.53504,  -7.77917,   1.72729,  12.33904,  -4.39570,  32.78869,   8.20154,  -3.76976,  42.95375,   7.05816,  -3.61054,  50.70802,   8.10972,  -3.17844,  57.37290,   9.87080,  -3.61054,  50.70802,   8.10972,   3.04620,  50.92193,   7.29208,   6.81600,  41.12000,  10.37205,   7.39668,  41.49853,  18.86390,   7.39668,  41.49853,  18.86390,   7.03209,  43.29562,  22.34779,  -3.61054,  50.70802,   8.10972,  -9.98081,  51.15311,   6.04863, -16.19529,  42.53455,   8.67085, -18.36206,  43.05869,  16.89414, -18.36206,  43.05869,  16.89414, -19.38986,  44.11641,  22.08228
   0.02500,  -4.40320,  32.75790,   8.22540,  -0.78526,  32.57455,   8.66807,  -0.59296,  17.29648,  12.30342,   1.05384,   2.53506,   8.16531,  -0.60190,   1.23146,  13.71088,  -8.02114,  32.94125,   7.78273,  -7.55797,  17.27135,   8.73770,  -6.58894,   2.04083,   6.54052,  -7.76579,   1.71611,  12.34601,  -4.40108,  32.79720,   8.22431,  -3.81854,  42.96110,   7.04826,  -3.64853,  50.71593,   8.09407,  -3.20611,  57.38334,   9.84295,  -3.64853,  50.71593,   8.09407,   3.00657,  50.92158,   7.26109,   6.76072,  41.13518,  10.40880,   7.33739,  41.47770,  18.90246,   7.33739,  41.47770,  18.90246,   6.98696,  43.27048,  22.39002,  -3.64853,  50.71593,   8.09407, -10.01502,  51.16732,   6.02269, -16.20125,  42.54227,   8.68997, -18.36708,  43.00141,  16.91739, -18.36708,  43.00141,  16.91739, -19.37137,  44.03005,  22.11596
   0.03333,  -4.43310,  32.76700,   8.22970,  -0.81574,  32.58650,   8.67828,  -0.63532,  17.31303,  12.33349,   0.98580,   2.57478,   8.10365,  -0.65434,   1.25926,  13.65105,  -8.05046,  32.94750,   7.78112,  -7.56364,  17.27763,   8.72481,  -6.58383,   2.04530,   6.54503,  -7.75906,   1.71385,  12.35047,  -4.43100,  32.80630,   8.22859,  -3.85272,  42.96908,   7.04076,  -3.68195,  50.72581,   8.07223,  -3.23448,  57.39580,   9.80994,  -3.68195,  50.72581,   8.07223,   2.97510,  50.92261,   7.25282,   6.70142,  41.13734,  10.43691,   7.27670,  41.45648,  18.93158,   7.27670,  41.45648,  18.93158,   6.94322,  43.21586,  22.43776,  -3.68195,  50.72581,   8.07223, -10.05188,  51.17399,   6.01078, -16.20353,  42.53296,   8.70615, -18.36937,  42.93550,  16.93653, -18.36937,  42.93550,  16.93653, -19.35829,  43.91841,  22.14689
   0.04167,  -4.45620,  32.77410,   8.23850,  -0.83921,  32.59715,   8.69144,  -0.67973,  17.32569,  12.35601,   0.91692,   2.61018,   8.03861,  -0.71463,   1.28562,  13.58638,  -8.07319,  32.95105,   7.78556,  -7.56802,  17.28069,   8.71133,  -6.57601,   2.04683,   6.54782,  -7.75366,   1.70927,  12.35243,  -4.45414,  32.81340,   8.23737,  -3.88428,  42.97503,   7.03570,  -3.71368,  50.73387,   8.05114,  -3.26240,  57.40513,   9.78301,  -3.71368,  50.73387,   8.05114,   2.94452,  50.92770,   7.24041,   6.64087,  41.14180,  10.45729,   7.21615,  41.42521,  18.95322,   7.21615,  41.42521,  18.95322,   6.89679,  43.14451,  22.48053,  -3.71368,  50.73387,   8.05114, -10.08569,  51.18419,   5.99657, -16.20082,  42.52612,   8.72024, -18.37478,  42.85897,  16.95160, -18.37478,  42.85897,  16.95160, -19.34588,  43.78542,  22.17563
   0.05000,  -4.45700,  32.78560,   8.26720,  -0.83897,  32.62431,   8.71763,  -0.72486,  17.34540,  12.35274,   0.84282,   2.64543,   7.97225,  -0.77459,   1.30711,  13.52086,  -8.07503,  32.94689,   7.81677,  -7.57311,  17.27453,   8.70975,  -6.57493,   2.04068,   6.54902,  -7.74661,   1.70444,  12.35491,  -4.45509,  32.82490,   8.26595,  -3.92508,  42.98441,   7.02864,  -3.74724,  50.74445,   8.03371,  -3.28325,  57.41710,   9.75682,  -3.74724,  50.74445,   8.03371,   2.91130,  50.93011,   7.22383,   6.57679,  41.14381,  10.47463,   7.15592,  41.37351,  18.97193,   7.15592,  41.37351,  18.97193,   6.85665,  43.06133,  22.51617,  -3.74724,  50.74445,   8.03371, -10.11804,  51.19577,   5.97564, -16.18715,  42.51645,   8.73437, -18.37956,  42.76291,  16.96387, -18.37956,  42.76291,  16.96387, -19.33557,  43.64061,  22.19909
   0.05833,  -4.47740,  32.79390,   8.27670,  -0.85992,  32.63406,   8.73207,  -0.76546,  17.35413,  12.36342,   0.77288,   2.67522,   7.90263,  -0.83237,   1.32661,  13.45229,  -8.09488,  32.95374,   7.82133,  -7.58223,  17.28087,   8.69908,  -6.57199,   2.04568,   6.55343,  -7.74377,   1.70343,  12.35895,  -4.47550,  32.83320,   8.27544,  -3.94919,  42.99161,   7.02757,  -3.77325,  50.75379,   8.01632,  -3.31055,  57.43215,   9.71750,  -3.77325,  50.75379,   8.01632,   2.88644,  50.93576,   7.21513,   6.51045,  41.14035,  10.48498,   7.10210,  41.29645,  18.98308,   7.10210,  41.29645,  18.98308,   6.81167,  42.94197,  22.54789,  -3.77325,  50.75379,   8.01632, -10.14816,  51.19854,   5.96954, -16.17961,  42.49945,   8.74852, -18.38175,  42.62946,  16.97808, -18.38175,  42.62946,  16.97808, -19.33086,  43.48632,  22.21801
   0.06666,  -4.49350,  32.80120,   8.29270,  -0.87622,  32.64332,   8.75033,  -0.80755,  17.35738,  12.35689,   0.70449,   2.69368,   7.83746,  -0.90155,   1.33694,  13.38490,  -8.11078,  32.95908,   7.83507,  -7.59035,  17.28512,   8.68850,  -6.56859,   2.04895,   6.55528,  -7.74176,   1.70139,  12.36020,  -4.49163,  32.84051,   8.29144,  -3.97259,  42.99776,   7.03123,  -3.79965,  50.76255,   7.99978,  -3.33436,  57.44402,   9.68801,  -3.79965,  50.76255,   7.99978,   2.86028,  50.94495,   7.20068,   6.43860,  41.13900,  10.48919,   7.04451,  41.22457,  18.98729,   7.04451,  41.22457,  18.98729,   6.77604,  42.80470,  22.58327,  -3.79965,  50.76255,   7.99978, -10.17476,  51.20247,   5.95259, -16.15952,  42.47992,   8.75885, -18.38825,  42.50761,  16.98224, -18.38825,  42.50761,  16.98224, -19.34328,  43.29606,  22.23183
   0.07500,  -4.50740,  32.80840,   8.30840,  -0.89030,  32.65306,   8.76829,  -0.84644,  17.35946,  12.34263,   0.63659,   2.70888,   7.77133,  -0.96542,   1.34215,  13.31748,  -8.12450,  32.96374,   7.84851,  -7.59820,  17.28891,   8.68205,  -6.56699,   2.05201,   6.55858,  -7.74009,   1.70041,  12.36327,  -4.50555,  32.84771,   8.30714,  -3.99484,  43.00399,   7.03575,  -3.82517,  50.77110,   7.98612,  -3.35543,  57.45687,   9.65599,  -3.82517,  50.77110,   7.98612,   2.83490,  50.95360,   7.18817,   6.36506,  41.13440,  10.48919,   6.98618,  41.13558,  18.98662,   6.98618,  41.13558,  18.98662,   6.74302,  42.63724,  22.61785,  -3.82517,  50.77110,   7.98612, -10.20028,  51.20514,   5.93769, -16.13489,  42.45590,   8.76725, -18.39835,  42.37101,  16.98076, -18.39835,  42.37101,  16.98076, -19.35560,  43.08492,  22.24060
