time,Hips.x,Hips.y,Hips.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,LeftToeBase.x,LeftToeBase.y,LeftToeBase.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,RightToeBase.x,RightToeBase.y,RightToeBase.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb.x,LeftHandThumb.y,LeftHandThumb.z,L_Wrist_End.x,L_Wrist_End.y,L_Wrist_End.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb.x,RightHandThumb.y,RightHandThumb.z,R_Wrist_End.x,R_Wrist_End.y,R_Wrist_End.z
   0.00000,  57.31630,  32.59190, -11.02800,  60.94983,  32.87924, -10.84367,  62.42442,  17.49789,  -8.03087,  64.56695,   3.43034, -13.96797,  62.99766,   0.89352,  -8.84000,  53.68277,  32.30456, -11.21233,  54.39529,  16.97261,  -7.88130,  55.51649,   3.31552, -14.94969,  55.81527,   1.76109,  -9.23229,  57.31317,  32.63114, -11.02743,  56.63130,  42.85672, -11.03558,  56.41105,  50.55142,  -9.62033,  56.99768,  57.41692,  -9.14124,  56.41105,  50.55142,  -9.62033,  62.85189,  51.42432, -11.28768,  65.88157,  41.06179, -13.08056,  67.56504,  32.71296, -12.84607,  67.56504,  32.71296, -12.84607,  67.17361,  28.79677, -12.94734,  56.41105,  50.55142,  -9.62033,  49.90839,  51.22769, -11.13182,  46.41039,  40.86110, -11.40244,  44.96917,  32.69408,  -9.44930,  44.96917,  32.69408,  -9.44930,  45.07843,  27.32645,  -8.93112
   0.00833,  57.20850,  32.02450, -10.91020,  60.84110,  32.31565, -10.71395,  62.37135,  16.96387,  -7.77227,  64.62875,   3.06229, -14.04807,  63.01442,   0.86120,  -8.78087,  53.57590,  31.73335, -11.10645,  54.32365,  16.45273,  -7.55458,  55.42679,   3.01139, -15.02778,  55.80499,   1.71567,  -9.25090,  57.20533,  32.06374, -10.90980,  56.52692,  42.28954, -10.92561,  56.31385,  49.98962,  -9.53882,  56.88448,  56.85595,  -9.05234,  56.31385,  49.98962,  -9.53882,  62.75653,  50.87284, -11.19360,  65.79218,  40.50397, -12.93908,  67.50305,  32.16036, -12.71706,  67.50305,  32.16036, -12.71706,  67.16675,  28.23903, -12.81704,  56.31385,  49.98962,  -9.53882,  49.82621,  50.69554, -11.10046,  46.19985,  40.37172, -11.30907,  44.74602,  32.24037,  -9.22111,  44.74602,  32.24037,  -9.22111,  44.77742,  26.87988,  -8.62438
   0.01667,  57.09400,  31.50060, -10.81440,  60.72562,  31.79914, -10.61119,  62.33112,  16.48219,  -7.53133,  64.66704,   2.74985, -14.14206,  62.99552,   0.83827,  -8.78052,  53.46238,  31.20206, -11.01761,  54.27281,  15.97962,  -7.23704,  55.44436,   2.76893, -15.10091,  55.81221,   1.68137,  -9.28059,  57.09076,  31.53984, -10.81412,  56.42001,  41.76615, -10.81744,  56.21538,  49.46916,  -9.44571,  56.76994,  56.33853,  -8.98427,  56.21538,  49.46916,  -9.44571,  62.65460,  50.36014, -11.10978,  65.69590,  39.98416, -12.80233,  67.43330,  31.64584, -12.58781,  67.43330,  31.64584, -12.58781,  67.16033,  27.71949, -12.68389,  56.21538,  49.46916,  -9.44571,  49.74611,  50.19702, -11.07215,  45.97408,  39.92485, -11.24383,  44.52987,  31.83271,  -9.00247,  44.52987,  31.83271,  -9.00247,  44.48123,  26.48318,  -8.31537
   0.02500,  56.97290,  31.06190, -10.75420,  60.60285,  31.38299, -10.55561,  62.27901,  16.10240,  -7.33597,  64.65244,   2.51359, -14.22411,  62.97113,   0.81736,  -8.79362,  53.34295,  30.74081, -10.95279,  54.24593,  15.58119,  -6.94743,  55.58097,   2.60742, -15.17143,  55.84739,   1.65570,  -9.32186,  56.96941,  31.10111, -10.75374,  56.30063,  41.32750, -10.71961,  56.10013,  49.02912,  -9.33950,  56.64609,  55.90158,  -8.91523,  56.10013,  49.02912,  -9.33950,  62.53180,  49.90101, -11.04241,  65.57917,  39.51503, -12.66117,  67.35137,  31.18348, -12.46965,  67.35137,  31.18348, -12.46965,  67.14239,  27.25252, -12.53196,  56.10013,  49.02912,  -9.33950,  49.65116,  49.74808, -11.04840,  45.73458,  39.52985, -11.20143,  44.32715,  31.47403,  -8.81083,  44.32715,  31.47403,  -8.81083,  44.18393,  26.14485,  -7.99155
   0.03333,  56.83410,  30.74420, -10.73230,  60.46231,  31.09262, -10.54855,  62.18810,  15.84469,  -7.20271,  64.55953,   2.36030, -14.29375,  62.95962,   0.80569,  -8.79669,  53.20589,  30.39578, -10.91605,  54.21841,  15.29350,  -6.72464,  55.81762,   2.52185, -15.21364,  55.89924,   1.64982,  -9.34617,  56.83027,  30.78336, -10.73097,  56.15459,  41.00916, -10.66873,  55.95344,  48.70306,  -9.24628,  56.51509,  55.57704,  -8.86981,  55.95344,  48.70306,  -9.24628,  62.39352,  49.50461, -10.95197,  65.44938,  39.11470, -12.52895,  67.24625,  30.78811, -12.35219,  67.24625,  30.78811, -12.35219,  67.12229,  26.85313, -12.37570,  55.95344,  48.70306,  -9.24628,  49.51194,  49.40582, -10.98974,  45.49637,  39.22654, -11.17053,  44.14878,  31.19832,  -8.65582,  44.14878,  31.19832,  -8.65582,  43.89312,  25.90819,  -7.63546
   0.04167,  56.66670,  30.57300, -10.60510,  60.29495,  30.92834, -10.43593,  62.08203,  15.68239,  -7.11336,  64.45225,   2.27821, -14.35527,  62.93096,   0.80537,  -8.81356,  53.03845,  30.21766, -10.77427,  54.16826,  15.12617,  -6.57395,  56.13157,   2.51439, -15.22403,  55.97524,   1.64285,  -9.35801,  56.66280,  30.61215, -10.60358,  55.98039,  40.83756, -10.55216,  55.79101,  48.53575,  -9.15148,  56.38749,  55.40785,  -8.79480,  55.79101,  48.53575,  -9.15148,  62.25126,  49.19647, -10.84118,  65.30795,  38.80544, -12.40913,  67.11280,  30.48067, -12.22788,  67.11280,  30.48067, -12.22788,  67.08983,  26.54376, -12.21508,  55.79101,  48.53575,  -9.15148,  49.34777,  49.16204, -10.91754,  45.26476,  39.01111, -11.16863,  43.97020,  31.01123,  -8.53839,  43.97020,  31.01123,  -8.53839,  43.63407,  25.76056,  -7.35126
   0.05000,  56.47670,  30.50160, -10.47700,  60.10509,  30.86188, -10.32190,  61.94888,  15.62382,  -6.99411,  64.33465,   2.29782, -14.37388,  62.92308,   0.79296,  -8.81177,  52.84831,  30.14132, -10.63210,  54.12868,  15.05896,  -6.44221,  56.46891,   2.58415, -15.19652,  56.06629,   1.64917,  -9.35204,  56.47275,  30.54074, -10.47548,  55.78983,  40.76624, -10.45867,  55.62120,  48.46688,  -9.06884,  56.25853,  55.33503,  -8.70689,  55.62120,  48.46688,  -9.06884,  62.09494,  49.00838, -10.74929,  65.13917,  38.60747, -12.27535,  66.95769,  30.28539, -12.10756,  66.95769,  30.28539, -12.10756,  67.01998,  26.34947, -12.03963,  55.62120,  48.46688,  -9.06884,  49.17829,  49.04107, -10.85371,  45.06869,  38.90240, -11.16005,  43.82252,  30.91466,  -8.47021,  43.82252,  30.91466,  -8.47021,  43.39318,  25.72060,  -7.08124
   0.05833,  56.23120,  30.53660, -10.28070,  59.86210,  30.87865, -10.14423,  61.78143,  15.63906,  -6.86655,  64.21980,   2.39152, -14.36939,  62.91243,   0.80032,  -8.80584,  52.60030,  30.19455, -10.41717,  54.12093,  15.09781,  -6.36153,  56.77311,   2.69531, -15.12961,  56.14471,   1.65147,  -9.32360,  56.22747,  30.57578, -10.27973,  55.57079,  40.80250, -10.38145,  55.44432,  48.50555,  -9.00052,  56.13348,  55.36836,  -8.63224,  55.44432,  48.50555,  -9.00052,  61.92642,  48.94604, -10.67826,  64.94143,  38.52726, -12.13911,  66.78325,  30.20923, -12.03780,  66.78325,  30.20923, -12.03780,  66.91893,  26.27912, -11.84872,  55.44432,  48.50555,  -9.00052,  48.99828,  49.04290, -10.78556,  44.88740,  38.90719, -11.16417,  43.69121,  30.92250,  -8.44278,  43.69121,  30.92250,  -8.44278,  43.19565,  25.78581,  -6.87412
   0.06666,  56.00260,  30.67430, -10.11930,  59.63405,  31.01487,  -9.99421,  61.59269,  15.76899,  -6.76947,  64.10222,   2.56806, -14.33076,  62.90330,   0.80376,  -8.79505,  52.37115,  30.33373, -10.24439,  54.12008,  15.22523,  -6.32689,  57.01674,   2.83809, -15.03915,  56.21516,   1.65780,  -9.28080,  55.99890,  30.71349, -10.11859,  55.33931,  40.93964, -10.25330,  55.24940,  48.65299,  -8.92814,  55.96840,  55.51328,  -8.56997,  55.24940,  48.65299,  -8.92814,  61.74052,  48.99964, -10.59298,  64.73339,  38.57060, -12.02590,  66.57425,  30.25255, -11.91033,  66.57425,  30.25255, -11.91033,  66.78759,  26.32934, -11.65951,  55.24940,  48.65299,  -8.92814,  48.80694,  49.18418, -10.72788,  44.74697,  39.02996, -11.15660,  43.56866,  31.03647,  -8.45332,  43.56866,  31.03647,  -8.45332,  43.02023,  25.95540,  -6.72882
   0.07500,  55.75670,  30.89700,  -9.96680,  59.38823,  31.24064,  -9.85291,  61.40375,  15.98285,  -6.72085,  63.99825,   2.79287, -14.27256,  62.89156,   0.81873,  -8.78875,  52.12517,  30.55336, -10.08069,  54.10764,  15.43112,  -6.33105,  57.17804,   3.01785, -14.94608,  56.26047,   1.66467,  -9.24335,  55.75297,  30.93619,  -9.96617,  55.09980,  41.16130, -10.18483,  55.05170,  48.87700,  -8.87122,  55.77652,  55.73704,  -8.52008,  55.05170,  48.87700,  -8.87122,  61.54266,  49.18928, -10.54349,  64.49757,  38.74028, -11.90810,  66.33790,  30.42235, -11.77676,  66.33790,  30.42235, -11.77676,  66.62757,  26.50628, -11.49310,  55.05170,  48.87700,  -8.87122,  48.61585,  49.46042, -10.67841,  44.63639,  39.27554, -11.13378,  43.46187,  31.25444,  -8.51185,  43.46187,  31.25444,  -8.51185,  42.87941,  26.22240,  -6.65950
