time,Hips.x,Hips.y,Hips.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,LeftToeBase.x,LeftToeBase.y,LeftToeBase.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,RightToeBase.x,RightToeBase.y,RightToeBase.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb.x,LeftHandThumb.y,LeftHandThumb.z,L_Wrist_End.x,L_Wrist_End.y,L_Wrist_End.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb.x,RightHandThumb.y,RightHandThumb.z,R_Wrist_End.x,R_Wrist_End.y,R_Wrist_End.z
   0.00000,  18.04600,  35.10770,  -9.50570,  18.92955,  34.99450, -12.70102,  18.06918,  18.40618, -12.10487,  14.39345,   2.70052, -11.84880,  20.62256,   0.86726, -10.72816,  17.16245,  35.22090,  -6.31038,  22.55336,  19.77002,  -3.39895,  15.15549,   5.54846,  -5.20536,  20.01658,   2.52965,  -1.93809,  18.05289,  35.14646,  -9.50517,  19.11706,  44.29128,  -9.93991,  20.07533,  53.03087, -10.63328,  21.96440,  59.60682, -10.88029,  20.07533,  53.03087, -10.63328,  20.08162,  53.80060, -17.90639,  19.06530,  43.32719, -20.43698,  25.25988,  35.29009, -20.33586,  25.25988,  35.29009, -20.33586,  28.23335,  32.77851, -20.92783,  20.07533,  53.03087, -10.63328,  18.48466,  54.93219,  -3.75248,  18.39736,  44.90616,   0.32186,  22.82202,  35.87596,   1.68417,  22.82202,  35.87596,   1.68417,  25.44196,  31.36711,   3.06189
   0.00833,  18.26210,  35.09350,  -9.49230,  19.13554,  34.97774, -12.69031,  18.13640,  18.39689, -12.10295,  14.39251,   2.70736, -11.84565,  20.61879,   0.86363, -10.72641,  17.38866,  35.20926,  -6.29429,  23.02547,  19.82165,  -3.51658,  16.03014,   5.36910,  -5.07661,  21.04432,   2.51595,  -1.89288,  18.26904,  35.13225,  -9.49181,  19.34267,  44.27569,  -9.93236,  20.31447,  53.01414, -10.62121,  22.23839,  59.58053, -10.85315,  20.31447,  53.01414, -10.62121,  20.36200,  53.78310, -17.89424,  19.45036,  43.30205, -20.43307,  25.75431,  35.35260, -20.22214,  25.75431,  35.35260, -20.22214,  28.76966,  32.88242, -20.77520,  20.31447,  53.01414, -10.62121,  18.70895,  54.90984,  -3.74230,  18.53071,  44.86989,   0.29462,  22.81546,  35.77899,   1.69979,  22.81546,  35.77899,   1.69979,  25.36245,  31.23545,   3.10016
   0.01667,  18.48300,  35.07630,  -9.47560,  19.34518,  34.95608, -12.67650,  18.20991,  18.38350, -12.10309,  14.40108,   2.70961, -11.84587,  20.62932,   0.87044, -10.73009,  17.62082,  35.19652,  -6.27470,  23.48218,  19.86868,  -3.63468,  16.91792,   5.19225,  -4.96030,  22.07299,   2.51162,  -1.85256,  18.49000,  35.11504,  -9.47517,  19.56992,  44.25729,  -9.92480,  20.56025,  52.99428, -10.60587,  22.50215,  59.55577, -10.82605,  20.56025,  52.99428, -10.60587,  20.63711,  53.77153, -17.87778,  19.84242,  43.28108, -20.41707,  26.24649,  35.41518, -20.11130,  26.24649,  35.41518, -20.11130,  29.30732,  32.99068, -20.61435,  20.56025,  52.99428, -10.60587,  18.93254,  54.88793,  -3.73162,  18.66734,  44.83493,   0.26789,  22.81256,  35.68635,   1.71657,  22.81256,  35.68635,   1.71657,  25.27532,  31.10236,   3.13562
   0.02500,  18.71320,  35.05770,  -9.46080,  19.56484,  34.93382, -12.66438,  18.28302,  18.37150, -12.10365,  14.40338,   2.71499, -11.84572,  20.63115,   0.87326, -10.73152,  17.86156,  35.18158,  -6.25722,  23.92975,  19.91298,  -3.74431,  17.81537,   5.02557,  -4.85050,  23.10189,   2.51721,  -1.82075,  18.72026,  35.09643,  -9.46042,  19.80434,  44.23790,  -9.91590,  20.80807,  52.97405, -10.58804,  22.76694,  59.53078, -10.79969,  20.80807,  52.97405, -10.58804,  20.92017,  53.75315, -17.85929,  20.23209,  43.25629, -20.40323,  26.74592,  35.48557, -19.99834,  26.74592,  35.48557, -19.99834,  29.84433,  33.09993, -20.45507,  20.80807,  52.97405, -10.58804,  19.15881,  54.86147,  -3.71721,  18.80245,  44.79734,   0.24705,  22.80950,  35.59389,   1.73639,  22.80950,  35.59389,   1.73639,  25.18877,  30.97211,   3.17518
   0.03333,  18.93930,  35.03690,  -9.44400,  19.78141,  34.90891, -12.64993,  18.36119,  18.35747, -12.10145,  14.40028,   2.72134, -11.84256,  20.62289,   0.86125, -10.73005,  18.09719,  35.16489,  -6.23807,  24.36303,  19.95714,  -3.84402,  18.72513,   4.86986,  -4.75641,  24.13110,   2.53406,  -1.80039,  18.94642,  35.07562,  -9.44368,  20.04142,  44.21543,  -9.90629,  21.06066,  52.95045, -10.56968,  23.03460,  59.50311, -10.76702,  21.06066,  52.95045, -10.56968,  21.20478,  53.73622, -17.83965,  20.62604,  43.23302, -20.38466,  27.24357,  35.55637, -19.87945,  27.24357,  35.55637, -19.87945,  30.38025,  33.21392, -20.29681,  21.06066,  52.95045, -10.56968,  19.38597,  54.83235,  -3.70350,  18.93633,  44.75943,   0.22884,  22.80670,  35.50419,   1.75811,  22.80670,  35.50419,   1.75811,  25.10192,  30.84622,   3.21661
   0.04167,  19.17760,  35.00960,  -9.43750,  20.01007,  34.88174, -12.64596,  18.42552,  18.34505, -12.10278,  14.40089,   2.72527, -11.83964,  20.62236,   0.85955, -10.73017,  18.34513,  35.13746,  -6.22904,  24.80156,  19.99198,  -3.94945,  19.63849,   4.72534,  -4.66838,  25.15615,   2.56030,  -1.78973,  19.18476,  35.04831,  -9.43719,  20.28867,  44.18721,  -9.89671,  21.31738,  52.92193, -10.54937,  23.30027,  59.47220, -10.73568,  21.31738,  52.92193, -10.54937,  21.49908,  53.71270, -17.81795,  21.01404,  43.20607, -20.36834,  27.74100,  35.63225, -19.76554,  27.74100,  35.63225, -19.76554,  30.91289,  33.33001, -20.13809,  21.31738,  52.92193, -10.54937,  19.61400,  54.80087,  -3.68943,  19.07201,  44.72127,   0.21405,  22.80240,  35.41493,   1.78061,  22.80240,  35.41493,   1.78061,  25.01930,  30.72609,   3.26119
   0.05000,  19.41800,  34.98290,  -9.41850,  20.23887,  34.85307, -12.62986,  18.52092,  18.32909, -12.10569,  14.40962,   2.73193, -11.84105,  20.63247,   0.86538, -10.74077,  18.59713,  35.11273,  -6.20714,  25.21503,  20.02054,  -4.03982,  20.54743,   4.58767,  -4.57292,  26.17665,   2.59517,  -1.78717,  19.42519,  35.02161,  -9.41823,  20.53126,  44.15995,  -9.88348,  21.57276,  52.89384, -10.52692,  23.57239,  59.43939, -10.70002,  21.57276,  52.89384, -10.52692,  21.79083,  53.69525, -17.79334,  21.41523,  43.18506, -20.34753,  28.23604,  35.70395, -19.64921,  28.23604,  35.70395, -19.64921,  31.44699,  33.44985, -19.97896,  21.57276,  52.89384, -10.52692,  19.84299,  54.76579,  -3.67168,  19.20620,  44.67900,   0.19874,  22.80228,  35.32721,   1.80822,  22.80228,  35.32721,   1.80822,  24.93095,  30.60293,   3.30547
   0.05833,  19.66120,  34.95470,  -9.40220,  20.47229,  34.82150, -12.61591,  18.60714,  18.31304, -12.10608,  14.40844,   2.73920, -11.83974,  20.62836,   0.86176, -10.74142,  18.85011,  35.08790,  -6.18849,  25.62864,  20.05366,  -4.11699,  21.48855,   4.46727,  -4.52734,  27.20756,   2.63758,  -1.81373,  19.66843,  34.99340,  -9.40198,  20.78201,  44.13062,  -9.87132,  21.83513,  52.86404, -10.50215,  23.84346,  59.40724, -10.66257,  21.83513,  52.86404, -10.50215,  22.08317,  53.67181, -17.76691,  21.81167,  43.15937, -20.32505,  28.73056,  35.77842, -19.53224,  28.73056,  35.77842, -19.53224,  31.97725,  33.57035, -19.82111,  21.83513,  52.86404, -10.50215,  20.07601,  54.72840,  -3.65231,  19.34269,  44.63640,   0.18734,  22.80155,  35.23991,   1.83669,  22.80155,  35.23991,   1.83669,  24.84779,  30.48619,   3.35555
   0.06666,  19.90750,  34.92240,  -9.38820,  20.71225,  34.79041, -12.60356,  18.69786,  18.29908, -12.10762,  14.41125,   2.74926, -11.83838,  20.62932,   0.86307, -10.74451,  19.10275,  35.05439,  -6.17284,  26.02882,  20.07553,  -4.19006,  22.41769,   4.35540,  -4.47567,  28.22007,   2.68357,  -1.83826,  19.91478,  34.96109,  -9.38797,  21.04265,  44.09674,  -9.85374,  22.10299,  52.82982, -10.47708,  24.10568,  59.37495, -10.62918,  22.10299,  52.82982, -10.47708,  22.38677,  53.64960, -17.73918,  22.20738,  43.13499, -20.29650,  29.22230,  35.85533, -19.41584,  29.22230,  35.85533, -19.41584,  32.50164,  33.69123, -19.66591,  22.10299,  52.82982, -10.47708,  20.30983,  54.68891,  -3.63464,  19.48372,  44.59297,   0.17569,  22.79947,  35.15221,   1.86565,  22.79947,  35.15221,   1.86565,  24.77037,  30.37437,   3.40826
   0.07500,  20.16210,  34.88870,  -9.37580,  20.95249,  34.75679, -12.59472,  18.79154,  18.28370, -12.10925,  14.41301,   2.75959, -11.83568,  20.62868,   0.86260, -10.74688,  19.37171,  35.02061,  -6.15688,  26.42491,  20.09109,  -4.25172,  23.34513,   4.25669,  -4.42810,  29.22574,   2.73337,  -1.87537,  20.16943,  34.92738,  -9.37558,  21.30389,  44.06227,  -9.84034,  22.36857,  52.79573, -10.45081,  24.39071,  59.33537, -10.58000,  22.36857,  52.79573, -10.45081,  22.68601,  53.62371, -17.71058,  22.60530,  43.10792, -20.26806,  29.71206,  35.92941, -19.29804,  29.71206,  35.92941, -19.29804,  33.02452,  33.81231, -19.51135,  22.36857,  52.79573, -10.45081,  20.54893,  54.64269,  -3.61207,  19.62246,  44.54514,   0.17080,  22.80402,  35.06474,   1.89646,  22.80402,  35.06474,   1.89646,  24.68749,  30.26102,   3.46766
